Time,L_malate,UL_malate,L_g3p,UL_g3p,L_lac,UL_lac,L_ga3p,UL_ga3p
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
2,7.789188658,92.21081134,17.64797095,82.35202905,3.350574581,96.64942542,22.12589867,77.87410133
2,7.957183837,92.04281616,18.44836057,81.55163943,4.822252004,95.177748,23.36553336,76.63446664
2,10.0889939,89.9110061,21.88234512,78.11765488,5.525290357,94.47470964,27.02680135,72.97319865
5,14.19259103,85.80740897,35.71356085,64.28643915,6.280456318,93.71954368,33.11485091,66.88514909
5,14.41442903,85.58557097,35.31296993,64.68703007,7.029748931,92.97025107,32.40333169,67.59666831
5,14.92507627,85.07492373,35.55500969,64.44499031,8.067471829,91.93252817,28.20600927,71.79399073
10,15.94627724,84.05372276,42.56001774,57.43998226,6.92254096,93.07745904,34.2579899,65.7420101
10,15.46697551,84.53302449,40.78314895,59.21685105,5.497153471,94.50284653,29.82826394,70.17173606
10,15.81691136,84.18308864,43.88705916,56.11294084,7.592766149,92.40723385,33.56974557,66.43025443
20,17.36754344,82.63245656,50.35036905,49.64963095,9.656265811,90.34373419,30.38271038,69.61728962
20,18.08489477,81.91510523,52.13163678,47.86836322,9.374515468,90.62548453,29.58762001,70.41237999
20,19.25217019,80.74782981,53.33418166,46.66581834,9.529495175,90.47050483,34.09777615,65.90222385
