Time,L_malate,UL_malate,L_g3p,UL_g3p,L_lac,UL_lac,L_ga3p,UL_ga3p
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
2,2.832419831,97.16758017,9.314362362,90.68563764,1.193383299,98.8066167,12.32831336,87.67168664
2,2.409402872,97.59059713,8.395185368,91.60481463,1.004234768,98.99576523,9.653875275,90.34612472
2,2.430097017,97.56990298,7.423541288,92.57645871,1.063567425,98.93643257,9.73336548,90.26663452
5,5.45890364,94.54109636,18.84634513,81.15365487,2.113403066,97.88659693,21.76272369,78.23727631
5,0.85010112,99.14989888,0.956131445,99.04386856,2.754655498,97.2453445,20.76272369,79.23727631
5,6.034971021,93.96502898,18.84684519,81.15315481,2.508406055,97.49159395,19.78997268,80.21002732
10,8.048447864,91.95155214,24.96727093,75.03272907,2.927917594,97.07208241,24.45536078,75.54463922
10,7.936777453,92.06322255,26.05152971,73.94847029,2.707809228,97.29219077,23.39383327,76.60616673
10,8.097258531,91.90274147,25.92762468,74.07237532,4.054934388,95.94506561,23.95647097,76.04352903
20,9.382380533,90.61761947,35.2481486,64.7518514,3.522380878,96.47761912,28.42519865,71.57480135
20,9.95580815,90.04419185,29.1286449,70.8713551,4.913814703,95.0861853,25.72243155,74.27756845
20,9.639655651,90.36034435,32.47088795,67.52911205,3.55616771,96.44383229,27.26184099,72.73815901
