Time,L_malate,UL_malate,L_g3p,UL_g3p,L_lac,UL_lac,L_ga3p,UL_ga3p
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
1,0.986021456,99.01397854,0.423945515,99.57605449,1.721021366,98.27897863,5.670523866,94.32947613
1,1.198169369,98.80183063,0.245502451,99.75449755,1.880703907,98.11929609,2.461865496,97.5381345
1,1.219168709,98.78083129,0.17278123,99.82721877,2.24949696,97.75050304,1.868827792,98.13117221
2,3.263002496,96.7369975,0.347110327,99.65288967,4.450188898,95.5498111,7.151452164,92.84854784
2,4.708610121,95.29138988,0.672950048,99.32704995,6.722479409,93.27752059,9.866100558,90.13389944
2,2.726874606,97.27312539,0.333331952,99.66666805,4.23779244,95.76220756,3.923771585,96.07622841
5,9.214787376,90.78521262,0.321542198,99.6784578,7.555611065,92.44438893,10.19944215,89.80055785
5,6.920568935,93.07943107,0.288351681,99.71164832,6.184818184,93.81518182,7.31319669,92.68680331
5,7.062371736,92.93762826,0.40719231,99.59280769,7.636872387,92.36312761,5.247325041,94.75267496
30,14.84973611,85.15026389,0.774309499,99.2256905,10.03362848,89.96637152,12.0821542,87.9178458
30,14.77704189,85.22295811,2.114688179,97.88531182,11.10625377,88.89374623,13.03701655,86.96298345
30,16.28075589,83.71924411,1.674575693,98.32542431,13.52837689,86.47162311,12.69721536,87.30278464
