Time,L_malate,UL_malate,L_g3p,UL_g3p,L_lac,UL_lac,L_ga3p,UL_ga3p
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0.5,0.135483613,99.86451639,0.30888687,99.69111313,0.252984829,99.74701517,2.339007054,97.66099295
0.5,0.139617085,99.86038291,0.313332264,99.68666774,0.340421132,99.65957887,0.966900807,99.03309919
0.5,0.038759824,99.96124018,0.172615155,99.82738485,0.24168739,99.75831261,1.474961646,98.52503835
4,3.022350134,96.97764987,3.395944144,96.60405586,2.959037567,97.04096243,5.022722831,94.97727717
4,2.458353193,97.54164681,3.351876641,96.64812336,2.872976497,97.1270235,5.270295676,94.72970432
4,2.701290114,97.29870989,3.04226509,96.95773491,2.435206624,97.56479338,6.445738594,93.55426141
10,5.128905852,94.87109415,7.654516931,92.34548307,6.750991309,93.24900869,9.911419378,90.08858062
10,4.985430806,95.01456919,6.72297425,93.27702575,5.807523803,94.1924762,11.03643162,88.96356838
10,4.68338077,95.31661923,7.202942389,92.79705761,6.019860649,93.98013935,12.74687904,87.25312096
30,10.76661944,89.23338056,16.75810912,83.24189088,11.97651316,88.02348684,13.76979029,86.23020971
30,9.652461499,90.3475385,14.89582511,85.10417489,9.914399205,90.0856008,10.49012115,89.50987885
30,8.556844895,91.44315511,14.87388361,85.12611639,7.516366456,92.48363354,13.63726025,86.36273975
