Time,L_malate,UL_malate,L_g3p,UL_g3p,L_lac,UL_lac,L_ga3p,UL_ga3p
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
5,5.831524506,94.16847549,8.327262543,91.67273746,0.875225724,99.12477428,4.0795186,95.9204814
5,5.241785287,94.75821471,7.16601335,92.83398665,0.535557931,99.46444207,11.20118089,88.79881911
5,5.851848978,94.14815102,9.074514248,90.92548575,0.867917197,99.1320828,8.712966705,91.2870333
10,8.941004654,91.05899535,14.94125187,85.05874813,0.615973389,99.38402661,12.82315048,87.17684952
10,9.392555231,90.60744477,18.52601951,81.47398049,0.926065732,99.07393427,13.78152853,86.21847147
10,8.726372674,91.27362733,15.16084402,84.83915598,0.816257293,99.18374271,13.28763577,86.71236423
20,12.25399329,87.74600671,23.36826929,76.63173071,0.872909859,99.12709014,17.66104221,82.33895779
20,10.43596323,89.56403677,15.98458032,84.01541968,0.949953465,99.05004654,14.54280551,85.45719449
20,9.513919566,90.48608043,14.79902341,85.20097659,0.868615851,99.13138415,12.59509153,87.40490847
