Time,L_malate,UL_malate,L_g3p,UL_g3p,L_lac,UL_lac,L_ga3p,UL_ga3p
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
1,4.361817961,95.63818204,5.901067462,94.09893254,2.907418267,97.09258173,13.72407616,86.27592384
1,3.817450588,96.18254941,3.475882783,96.52411722,1.897422908,98.10257709,12.09935658,87.90064342
1,6.447371499,93.5526285,9.228402736,90.77159726,4.721639068,95.27836093,18.97022092,81.02977908
3,14.67598037,85.32401963,16.95352706,83.04647294,7.593866698,92.4061333,27.17028258,72.82971742
3,11.87625238,88.12374762,13.20307567,86.79692433,3.899403591,96.10059641,23.52524785,76.47475215
3,11.09978819,88.90021181,12.76526616,87.23473384,5.126428322,94.87357168,23.24340307,76.75659693
5,13.26948168,86.73051832,14.86484819,85.13515181,6.429697717,93.57030228,26.6604902,73.3395098
5,13.05545739,86.94454261,15.20997022,84.79002978,5.74297923,94.25702077,23.02252051,76.97747949
5,13.88441942,86.11558058,16.96473915,83.03526085,7.609789009,92.39021099,25.74059106,74.25940894
10,14.8219061,85.1780939,24.7635549,75.2364451,8.84185533,91.1581447,28.74928456,71.25071544
10,15.3144896,84.6855104,25.9247795,74.0752206,7.30124118,92.6987588,28.44618485,71.55381515
10,15.7586093,84.2413907,24.1924975,75.8075025,8.77685832,91.2231417,28.35817716,71.64182284
20,18.0640349,81.9359651,36.25239,63.74761,9.93332557,90.0666744,30.93764708,69.06235292
20,18.993959,81.006041,40.5710992,59.4289008,10.4106068,89.5893932,30.37207449,69.62792551
20,17.872087,82.127913,35.126918,64.873082,8.92548909,91.0745109,27.71350181,72.28649819
30,18.1840505,81.8159495,38.4972177,61.5027823,10.070298,89.929702,31.29224928,68.70775072
30,18.8766186,81.1233814,40.0668308,59.9331692,10.5432148,89.4567852,32.12358453,67.87641547
30,18.328381,81.671619,32.1695261,67.830474,9.79859281,90.2014072,30.18317591,69.81682409
