Time,L_malate,UL_malate,L_g3p,UL_g3p,L_lac,UL_lac,L_ga3p,UL_ga3p
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
0,0,100,0,100,0,100,0,100
2,6.51298865,93.48701135,17.28984294,82.71015706,6.182206425,93.81779358,25.4449125,74.5550875
2,3.775266838,96.22473316,12.4148265,87.5851735,3.388943295,96.61105671,20.44062225,79.55937775
2,4.37755281,95.62244719,10.82408425,89.17591575,1.802677259,98.19732274,19.72744948,80.27255052
5,6.51298865,93.48701135,21.98087355,78.01912645,3.934810176,96.06518982,29.38116563,70.61883437
5,3.775266838,96.22473316,19.98448414,80.01551586,5.388965295,94.61103471,28.69775903,71.30224097
5,4.37755281,95.62244719,19.5968542,80.4031458,5.134451538,94.86554846,30.73583709,69.26416291
10,11.65927999,88.34072001,23.39929503,76.60070497,5.483389576,94.51661042,30.15451597,69.84548403
10,12.84555909,87.15444091,26.1915966,73.8084034,8.008786263,91.99121374,29.89719985,70.10280015
10,14.75157882,85.24842118,30.933495,69.066505,9.34479489,90.65520511,32.78810187,67.21189813
20,16.10849304,83.89150696,31.27167687,68.72832313,11.66706785,88.33293215,34.96417942,65.03582058
20,15.25997399,84.74002601,29.75104625,70.24895375,9.930026191,90.06997381,33.66495502,66.33504498
20,14.99993492,85.00006508,26.74101698,73.25898302,10.19017493,89.80982507,31.05829662,68.94170338
30,18.30878983,81.69121017,42.82442322,57.17557678,13.27217103,86.72782897,37.65144725,62.34855275
30,17.13529646,82.86470354,40.41256419,59.58743581,11.7319358,88.2680642,37.98430383,62.01569617
30,17.06851876,82.93148124,30.63936876,69.36063124,12.93934934,87.06065066,36.69208499,63.30791501
30,16.74380809,83.25619191,33.58938072,66.41061928,12.16973671,87.83026329,37.30719145,62.69280855
30,15.94167191,84.05832809,30.46470189,69.53529811,12.30495427,87.69504573,34.0405628,65.9594372
